sch.SCRIPT_EVENT_FMMC_CC_DIALOGUE_HOST_TO_CLIENTS, -1277920076, 2022781513, -1159567308, -1690598394, 1480069940
sch.SCRIPT_EVENT_FMMC_CC_AWARD, 763587116, -504097535, 686611638, -29570561, -988680051
sch.SCRIPT_EVENT_FMMC_CC_DEAD, -1392947944, -1328749703, 1580995149, 617779304, 2032112353
sch.SCRIPT_EVENT_FMMC_SAFETY_DEPOSIT_BOX_LOOTED, 1782311743, 1739983774, 1096640646, 1725313361, 2007883737
sch.SCRIPT_EVENT_FMMC_OCCUPY_SAFETY_DEPOSIT_BOX_CABINET, 44819967, -393312678, -824921112, 98741508, -994303175
sch.SCRIPT_EVENT_FMMC_PAINTING_STOLEN, -1713379749, -2119274437, -2073221134, 277800539, 1472054923
sch.SCRIPT_EVENT_FMMC_GRAB_CASH, -1684231978, -498982787, 733629701, 1058230407, 770949062
sch.SCRIPT_EVENT_FMMC_GRAB_CASH_DROP_CASH, -2127088631, 726911775, -114264947, 1060493169, -2074218566
sch.SCRIPT_EVENT_FMMC_GRAB_CASH_DISPLAY_TAKE, -1452903684, -254870189, 1611745893, 1274978614, 1340718905
sch.SCRIPT_EVENT_FMMC_REQUEST_RESTRICTION_ROCKETS, -455602935, -363714924, -1936487065, -785434628, 1833326986
sch.SCRIPT_EVENT_FMMC_OPEN_DOOR, 720403291, -1844666656, 720985445, 361470904, -726855469
sch.SCRIPT_EVENT_FMMC_SWAP_DOOR_FOR_DAMAGED_VERSION, 1547900160, 693209298, 13620097, 1558944015, 760100327
sch.SCRIPT_EVENT_FMMC_TREVOR_COVER_CONVERSATION_TRIGGERED, -412798502, 1854212120, -1296058921, 1105240359, -1345093153
sch.SCRIPT_EVENT_FMMC_PICKED_UP_POWERPLAY_POWERUP, -2004709678, 635835015, -909187970, 443689684, -1162760531
sch.SCRIPT_EVENT_FMMC_PICKED_UP_LIVES_PICKUP, -1121747259, 1254160367, -764201398, -1773399841, -1248635465
sch.SCRIPT_EVENT_FMMC_PICKED_UP_POWERPLAY_PICKUP, 123385600, -203337700, -999274816, -1056889181, -1484757921
sch.SCRIPT_EVENT_FMMC_POWERPLAY_PICKUP_ENDED, 52566716, -92772992, 292907678, 1378525377, 678487596
sch.SCRIPT_EVENT_FMMC_PP_PICKUP_PLAY_ANNOUNCER, -1708439114, -594454891, 28783548, 611652708, -1646027645
sch.SCRIPT_EVENT_FMMC_CANT_DECREMENT_SCORE, 62914754, 86039676, 1495312329, 783958166, 1618150171
sch.SCRIPT_EVENT_FMMC_MISSION_EQUIPMENT, 521785177, 369934691, 823527308, 168189915, 1855541331
sch.SCRIPT_EVENT_DATA_FMMC_SPAWN_PICKUP, -1096165020, 1781833679, 1549942474, -185191026, -206073737
sch.SCRIPT_EVENT_FMMC_LOCH_SANTOS_MONSTER, 1697440769, 25479019, 381033295, -474569308, -2055852684
sch.SCRIPT_EVENT_FMMC_MODEL_SWAP, -73712877, 309235314, 3835755, -1078839609, 2112842196
sch.SCRIPT_EVENT_FMMC_SPAWN_PED_AMMO_PICKUP, 115269530, -544575490, 456512007, 1350606127, 1278623228
sch.SCRIPT_EVENT_FMMC_REMOVE_PED_AMMO_PICKUP, -1687563299, 136131698, 1740754915, -1815073851, -809738197
sch.SCRIPT_EVENT_FMMC_SHOW_REZ_TICKER, 617266914, -880537513, 1883382628, -59311593, -1404232591
sch.SCRIPT_EVENT_FMMC_SHOW_REZ_SHARD, 857499588, 1257713180, 57428579, 310155374, 1498840888
sch.SCRIPT_EVENT_FMMC_TEAM_CHECKPOINT_PASSED, -1490437108, 365275847, -1781383211, -1050026376, -185637351
sch.SCRIPT_EVENT_FMMC_PICKED_UP_VEHICLE_WEAPON, -902579306, -1973753057, -905588095, 1036886020, -1054853926
sch.SCRIPT_EVENT_FMMC_ACTIVATE_VEHICLE_WEAPON, 318175162, -1105525515, -1978462272, 1516066191, 1799240698
sch.SCRIPT_EVENT_FMMC_REQUEST_EXTRA_LIFE_FROM_PICKUP, 624101551, -529385110, -1138178504, 1583088705, -233606230
sch.SCRIPT_EVENT_FMMC_VEHICLE_WEAPON_SOUND, -362001992, -647853445, -1388900659, 520390844, 552755951
sch.SCRIPT_EVENT_FMMC_DETONATE_PROP, -1481293342, 1244202763, -1261826924, -2113000464, -875270279
sch.SCRIPT_EVENT_FMMC_TOGGLE_PROP_CLAIMING, -993034628, -331018505, 1814706163, -240884586, 1325364634
sch.SCRIPT_EVENT_FMMC_CLAIM_PROP, 489719566, 88713458, 333158976, -933669201, -422978529
sch.SCRIPT_EVENT_FMMC_TARGET_PROP_SHOT, -759211136, 265295398, 1822973841, -205416367, 665603983
sch.SCRIPT_EVENT_FMMC_RESET_ALL_PROPS, 2008131371, -436108586, -669524817, 473685020, 845662336
sch.SCRIPT_EVENT_FMMC_SMASHED_BY_TOUCH, -247880714, -1194058725, -1686819623, 1552783162, -1509415975
sch.SCRIPT_EVENT_FMMC_STEAL_OBJECT, 1492603989, 1281704309, -723815979, 1996403173, 1743838956
sch.SCRIPT_EVENT_FMMC_APPLY_EXTRA_VEH_DAMAGE_FROM_COLLISION, -2019427315, -280224876, -1601139550, -684713875, 1636964625
sch.SCRIPT_EVENT_FMMC_DECREMENT_REMAINING_TIME, -753366233, -1920455593, 1715513470, -1426247108, 901008778
sch.SCRIPT_EVENT_FMMC_INCREMENT_REMAINING_TIME, 391951519, 949909056, -720390542, 2087215841, -1069260930
sch.SCRIPT_EVENT_FMMC_START_PRE_COUNTDOWN_STOP, -1073054610, 361397769, 1773612764, 1225893721, 1884708548
sch.SCRIPT_EVENT_FMMC_LOCATE_ALERT_SOUND, -392592249, -806388838, 1123775103, 1842684897, -1483527804
sch.SCRIPT_EVENT_FMMC_PROP_DESTROYED, -1519660270, -689790300, -1963814829, -1352124465, 754498703
sch.SCRIPT_EVENT_FMMC_CLEAR_HAS_BEEN_ON_SMALLEST_TEAM, -1803602134, 1697127279, -787019868, -1693029981, -1569939096
sch.SCRIPT_EVENT_FMMC_CONDEMNED_DIED, -208123777, -843861102, 1875636816, 933330773, 551528057
sch.SCRIPT_EVENT_FMMC_SHARD_BOMBUSHKA_MINI_ROUND_END_EARLY, -1859877409, -774785113, -271363616, -289032887, 212395624
sch.SCRIPT_EVENT_FMMC_PLAY_PULSE_SFX, -1486448079, 1877870806, -1312786510, 916021924, 450342880
sch.SCRIPT_EVENT_FMMC_BOMBUSHKA_NEW_ROUND_SHARD, -957289264, -88825874, 1228727450, 1090857672, -1943385788
sch.SCRIPT_EVENT_FMMC_SHOWDOWN_DAMAGE, 1778948720, -1835308444, 1044310369, -1386832071, -107806796
sch.SCRIPT_EVENT_FMMC_SHOWDOWN_ELIMINATION, 1460869672, -472933075, -1537486312, 1661832665, 268477538
sch.SCRIPT_EVENT_FMMC_BMBFB_EXPLODE_BALL, 1612934009, -70432358, 930331493, 17580919, 1535425282
sch.SCRIPT_EVENT_FMMC_BMBFB_GOAL, -1135108417, -1288384991, -1636606340, 1629296372, 718233939
sch.SCRIPT_EVENT_FMMC_ARENA_TRAP_ACTIVATED, 873333567, 1466307086, -244099032, 578608957, 1868797439
sch.SCRIPT_EVENT_FMMC_ARENA_TRAP_DEACTIVATED, 1596497627, 921411241, 2127616207, -1705970825, -39801880
sch.SCRIPT_EVENT_FMMC_ARENA_LANDMINE_TOUCHED, -2114362957, -407754957, -826036025, 378513372, -1351892839
sch.SCRIPT_EVENT_FMMC_ARENA_ARTICULATED_JOINT, -1951170625, 1120014978, -948382150, -686615048, -65043796
sch.SCRIPT_EVENT_FMMC_MOVE_FMMC_YACHT, -620696748, -893739527, 21752911, 179406407, -805075223
sch.SCRIPT_EVENT_FMMC_METAL_DETECTOR_ALERTED, 1774214216, 1227500260, -875384105, 506625041, 1017623532
sch.SCRIPT_EVENT_FMMC_CCTV_REACHED_DESTINATION, -785098213, 169740323, -28653875, 73714215, -2015790266
sch.SCRIPT_EVENT_FMMC_SET_ARTIFICIAL_LIGHTS, 1986946029, 1539222499, -1984930463, 650999386, 1689130548
sch.SCRIPT_EVENT_FMMC_INTERIOR_DESTRUCTION, 1210259081, -1373731470, -939453778, 1724424100, 911236861
sch.SCRIPT_EVENT_FMMC_INTERACT_WITH_EVENT, 1580349413, 34059143, -2100598102, -2046032126, -883636085
sch.SCRIPT_EVENT_FMMC_UPDATE_DOOR_LINKED_ENTITIES, 869355229, 376123309, 799873188, -1525835638, 277508486
sch.SCRIPT_EVENT_FMMC_ACTIVATE_ELEVATOR, -264558514, -1183254558, -758644224, -1272043537, -2057730552
sch.SCRIPT_EVENT_FMMC_CALL_ELEVATOR, 327612845, -846004885, -1935902058, -1739420478, 840866290
sch.SCRIPT_EVENT_FMMC_ZONE_TIMER, 619091333, -1787038574, 1145485707, -988194566, 434253941
sch.SCRIPT_EVENT_FMMC_PHONE_EMP_EVENT, 1747599428, 542740201, 1019056769, 742832960, 1295826463
sch.SCRIPT_EVENT_FMMC_POISON_GAS, -1186660988, 1995960320, -1328771066, 230041885, -1619352151
sch.SCRIPT_EVENT_FMMC_DIRECTIONAL_DOOR_EVENT, -1465288893, 696628190, -1060721210, 1872324417, -1859579689
sch.SCRIPT_EVENT_FMMC_TRIGGER_AGGRO_FOR_TEAM, 954535972, -182023484, 1878537854, -1514545396, -1682444584
sch.SCRIPT_EVENT_FMMC_PLAY_SYNC_SCENE_FACIAL_ANIM, -597751219, 1774566110, 693307404, -1728153203, -1381782315
sch.SCRIPT_EVENT_FMMC_TRIGGER_AGGRO_FOR_TEAM_LEGACY, 706147344, -499856523, 232831472, -736472474, -696110572
sch.SCRIPT_EVENT_FMMC_BLOCK_WANTED_CONE_RESPONSE_EVENT, -528045782, 840034482, -17377319, 1624367812, -882774828
sch.SCRIPT_EVENT_FMMC_UPDATE_MINIGAME_OFF_RULE_EVENT, -1802185707, -281527436, 1489149661, 1338679760, 1262194935
sch.SCRIPT_EVENT_FMMC_UPDATE_DOOR_OFF_RULE_EVENT, -2106602241, -262448397, 1311282408, 479271050, 1521244608
sch.SCRIPT_EVENT_FMMC_COP_DECOY_EVENT, -1041772488, -371701203, -325929569, 1326739083, 121898416
sch.SCRIPT_EVENT_FMMC_COP_BEHAVIOUR_OVERRIDE_EVENT, -2126318368, -1426675307, -2144546805, 459646501, -713706416
sch.SCRIPT_EVENT_FMMC_THERMITE_EFFECT_EVENT, -1092226370, -949119977, 640452858, 1106327869, -1314282935
sch.SCRIPT_EVENT_FMMC_HARD_TARGET_NEW_TARGET_SHARD, -989531459, -656952643, 1800770039, 464276482, 1145497846
sch.SCRIPT_EVENT_FMMC_RESET_INDIVIDUAL_PROP, 522496808, -1872112176, 1951854125, 1256244011, 1049081606
sch.SCRIPT_EVENT_FMMC_PROP_CLAIMED_SUCCESSFULLY_BY_PART, 1419057310, 575328666, -95545863, -2039631639, 1534998773
sch.SCRIPT_EVENT_FMMC_TURF_WARS_TEAM_LEADING_CHANGED, 1865272564, 907990103, -1164954070, 1633262983, -1388433285
sch.SCRIPT_EVENT_FMMC_PROP_CONTESTED, 1681513244, -2141097959, -2115758450, -1121171018, 1515212653
sch.SCRIPT_EVENT_FMMC_PROP_CLAIMED, -1737316650, 614550156, 1116782831, 1192396160, -1413458482
sch.SCRIPT_EVENT_FMMC_COLLECTED_WEAPON, 1440744027, -670831337, -995172414, -19133582, 1256592628
sch.SCRIPT_EVENT_FMMC_RESPAWNED_WEAPON, -495378794, 1036788805, 315486764, -1097220507, 1735064874
